,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
152,2015-03-22,UTCEM IB Equity,NEST IB Equity,2912.25,7286.45,1.0,0.4158327849501028,117.69479589967648
153,2015-03-22,IIB IB Equity,BHARTI IB Equity,877.5,350.72,1.0,2.5019958941605838,0.0
154,2015-06-07,IIB IB Equity,BAF IB Equity,882.75,437.39,0.4954856981025205,1.0,0
155,2015-06-14,BAF IB Equity,IIB IB Equity,446.38,811.4,1.0,0.4954856981025205,-44.34290455961486
156,2015-06-21,BAF IB Equity,MM IB Equity,471.53,610.33,1.2943609102284055,1.0,0
157,2015-06-28,MM IB Equity,BAF IB Equity,654.33,535.95,1.0,1.2943609102284055,39.38272983691398
158,2015-07-05,NTPC IB Equity,BHARTI IB Equity,115.63,372.67,3.222952520972066,1.0,0
159,2015-07-12,BHARTI IB Equity,NTPC IB Equity,390.61,114.96,1.0,3.222952520972066,-20.099378189051286
160,2015-07-26,NTPC IB Equity,BAF IB Equity,112.96,517.1,4.577726628895185,1.0,0
161,2015-08-09,BAF IB Equity,RELIANCE IB Equity,567.77,451.75,0.7956566919703402,1.0,0
162,2015-08-09,BAF IB Equity,NTPC IB Equity,567.77,112.58,1.0,4.577726628895185,-52.40953611898011
163,2015-08-09,RELIANCE IB Equity,BAF IB Equity,451.75,567.77,1.0,0.7956566919703402,0.0
164,2015-10-11,SBIN IB Equity,MSIL IB Equity,239.85,4415.45,18.40921409214092,1.0,0
165,2015-11-01,MSIL IB Equity,SBIN IB Equity,4387.75,251.15,1.0,18.40921409214092,235.72411924119243
166,2015-11-15,HCLT IB Equity,HDFCB IB Equity,441.35,532.88,1.2073864280049846,1.0,0
167,2015-11-22,HDFCB IB Equity,HCLT IB Equity,529.03,419.28,1.0,1.2073864280049846,-22.79701846607005
168,2015-12-06,LT IB Equity,MSIL IB Equity,916.03,4576.7,4.99623374780302,1.0,0
169,2015-12-13,IIB IB Equity,NTPC IB Equity,952.5,108.58,0.11399475065616797,1.0,0
170,2015-12-13,WPRO IB Equity,ICICIBC IB Equity,215.64,239.27,1.109580782786125,1.0,0
171,2015-12-20,NTPC IB Equity,RELIANCE IB Equity,110.63,431.13,3.8970442013920277,1.0,0
172,2015-12-20,SUNP IB Equity,TTAN IB Equity,768.6,353.45,0.45986208691126723,1.0,0
173,2015-12-27,IIB IB Equity,MM IB Equity,947.85,638.58,0.673714195284064,1.0,0
174,2015-12-27,ICICIBC IB Equity,WPRO IB Equity,234.73,208.52,1.0,1.109580782786125,-3.3602151734371635
175,2015-12-27,MSIL IB Equity,LT IB Equity,4639.6,859.93,1.0,4.99623374780302,-343.1887132517501
176,2015-12-27,NTPC IB Equity,IIB IB Equity,113.83,947.85,1.0,0.11399475065616797,-5.780075590551179
